Tabla,tipo,HojaFuente,CeldaFuente,TextoFuente
N-7,INTERVALO_PD_INVALIDO,Table 1,AA105,"13
11-12"
N-8,INTERVALO_PD_INVALIDO,Table 1,CA172,"6
0-5"
N-16,INTERVALO_PD_INVALIDO,Table 1,AV261,"8
0-7"
N-18,INTERVALO_PD_INVALIDO,Table 1,A323,"20
19
18
17
16
15
14
0-13"
N-20,INTERVALO_PD_INVALIDO,Table 1,C338,"13
0-12"
N-20,INTERVALO_PD_INVALIDO,Table 1,BK338,"44
0-43"
N-23,INTERVALO_PD_INVALIDO,Table 1,O381,"24
23
22
21
20
19
18
17
16
15
14
13
0-12"
N-23,INTERVALO_PD_INVALIDO,Table 1,AY381,"99
98
97
96
94
91
89
84
80
74
67
66
59
54
46
39
26
18
11
4 -
2
1"
N-24,INTERVALO_PD_INVALIDO,Table 1,A386,"20
19
18
17
0-16"
N-25,INTERVALO_PD_INVALIDO,Table 1,BB430,"10
0-9"
N-25,INTERVALO_PD_INVALIDO,Table 1,CF447,"24
0-23"
N-28,INTERVALO_PD_INVALIDO,Table 1,O509,"17
0-16"
N-28,INTERVALO_PD_INVALIDO,Table 1,CG509,"156
153-155"
N-28,INTERVALO_PD_INVALIDO,Table 1,BU527,"5
3-4"
N-29,INTERVALO_PD_INVALIDO,Table 1,A534,"20
19
18
17
0-16"
N-29,INTERVALO_PD_INVALIDO,Table 1,O534,"28
27
26
25
24
0-23"
N-29,INTERVALO_PD_INVALIDO,Table 1,AE534,"20
19
18
17
16
15
14
13
12
11
10
0-9"
N-29,INTERVALO_PD_INVALIDO,Table 1,BI534,"12
11
10
9
8
7
0-6"
N-30,INTERVALO_PD_INVALIDO,Table 1,O538,"26
25
24
23
22
0-21"
N-30,INTERVALO_PD_INVALIDO,Table 1,CG547,"127
125-126"
N-30,INTERVALO_PD_INVALIDO,Table 1,CU547,"90
88-89"
N-30,INTERVALO_PD_INVALIDO,Table 1,CG557,"114
112-113"
N-30,INTERVALO_PD_INVALIDO,Table 1,BU569,"30
29
0-28"
N-31,INTERVALO_PD_INVALIDO,Table 1,CV591,"69
65-68"
N-18,DUPLICADO_TITULO,Table 1,AA596,n-18
N-34,INTERVALO_PD_INVALIDO,Table 1,A676,"20
19
18
17
16
0-15"
N-34,INTERVALO_PD_INVALIDO,Table 1,O676,"28
27
26
25
0-24"
N-34,INTERVALO_PD_INVALIDO,Table 1,AE676,"20
19
18
17
0-16"
N-34,INTERVALO_PD_INVALIDO,Table 1,BI676,"12
11
10
9
0-8"
N-35,INTERVALO_PD_INVALIDO,Table 1,M680,"26
25
24
23
0-22"
N-38,INTERVALO_PD_INVALIDO,Table 1,H790,"36
35
34
33
32
0-31"
N-38,INTERVALO_PD_INVALIDO,Table 1,W790,"24
23
22
21
0-20"
N-38,INTERVALO_PD_INVALIDO,Table 1,AL790,"28
27
26
25
24
0-23"
N-38,INTERVALO_PD_INVALIDO,Table 1,BQ790,"20
19
18
17
16
15
14
13
12
11
10
9
8
7
0-6"
N-38,INTERVALO_PD_INVALIDO,Table 1,CF790,"28
27
26
25
24
23
22
21
20
19
18
0-17"
N-39,INTERVALO_PD_INVALIDO,Table 1,P797,"26
0-25"
N-39,INTERVALO_PD_INVALIDO,Table 1,BK797,"10
0-9"
N-39,INTERVALO_PD_INVALIDO,Table 1,A798,"16
0-15"
N-40,INTERVALO_PD_INVALIDO,Table 1,BC847,"24
0-23"
N-41,INTERVALO_PD_INVALIDO,Table 1,AR867,"20
19
18
17
0-16"
N-43,INTERVALO_PD_INVALIDO,Table 1,AD928,"20
0-19"
N-43,INTERVALO_PD_INVALIDO,Table 1,DA932,"163
161-162"
N-44,INTERVALO_PD_INVALIDO,Table 1,A946,"20
19
18
0-17"
N-44,INTERVALO_PD_INVALIDO,Table 1,Q946,"28
27
0-26"
N-44,INTERVALO_PD_INVALIDO,Table 1,AI946,"20
19
0-18"
N-45,INTERVALO_PD_INVALIDO,Table 1,A968,"50
49
48
47
46
45
44
43
42
41
40
0-39"
N-45,INTERVALO_PD_INVALIDO,Table 1,P968,"26
25
0-24"
N-45,INTERVALO_PD_INVALIDO,Table 1,AG968,"36
35
34
33
0-32"
N-45,INTERVALO_PD_INVALIDO,Table 1,AW968,"40
39
38
37
36
35
34
33
32
31
30
0-29"
N-46,INTERVALO_PD_INVALIDO,Table 1,BI1030,"17
0-16"
N-46,INTERVALO_PD_INVALIDO,Table 1,M1041,"52
0-51"
N-48,INTERVALO_PD_INVALIDO,Table 1,AD1063,"22
0-21"
N-48,INTERVALO_PD_INVALIDO,Table 1,BJ1063,"32
0-31"
N-48,INTERVALO_PD_INVALIDO,Table 1,CO1063,"26
0-25"
N-50,INTERVALO_PD_INVALIDO,Table 1,AQ1096,"34
0-33"
N-50,INTERVALO_PD_INVALIDO,Table 1,BT1096,"70
0-69"
N-52,INTERVALO_PD_INVALIDO,Table 1,BM1113,"18
0-17"
